Date,"Michael Jackson","Lady Gaga","Eminem","Justin Bieber","Freddie Mercury","Miley Cyrus","Taylor Swift","Lil Wayne","Selena Gomez","Rihanna"
2020-09-02,23069,17594,12816,10958,14238,47122,14367,7025,13430,12323
2020-09-03,19431,15510,12347,11038,17102,64603,13394,6236,17758,11711
2020-09-04,24086,15014,14377,17838,22142,39563,13372,7730,18862,11406
2020-09-05,21787,16967,14046,20326,60840,27381,13685,7892,16621,12686
2020-09-06,21772,17598,13656,16929,39931,24045,14045,7504,21260,14433
2020-09-07,21965,16092,13647,17022,24870,23707,15213,6961,24375,12791
2020-09-08,20271,13862,13069,15303,17677,20403,14093,6461,21060,10351
2020-09-09,20553,15271,12595,14160,15825,16655,13046,6811,20991,10229
2020-09-10,20508,15299,15723,13854,16510,15349,12527,7142,20798,10707
2020-09-11,20832,15272,14237,13732,17930,24834,12444,6791,18002,10524
2020-09-12,21544,16898,13951,15272,28618,18960,13234,6805,15826,10753
2020-09-13,21731,17652,13895,14206,28393,17430,14710,6429,15963,10661
2020-09-14,19518,14246,12761,14438,15938,15651,14639,5855,13732,10965
2020-09-15,18514,15771,12146,14194,18636,15112,13125,5641,13016,10515
2020-09-16,18319,12932,12443,13468,14419,13880,53634,5748,13034,12071
2020-09-17,18939,13497,12721,14047,16717,13555,38227,5851,13279,11365
2020-09-18,18640,21315,12972,21265,20411,14122,16969,6487,12507,11332
2020-09-19,18328,22986,13011,19510,22118,13814,14708,5754,12814,10934
2020-09-20,20514,39845,12586,17069,25796,16030,14016,6359,13431,11524
2020-09-21,17301,19451,11729,14504,16240,13558,12407,6744,12129,9999
2020-09-22,17694,15140,12057,14907,14856,11926,12729,6458,11495,10043
2020-09-23,17369,13846,12735,13841,15001,11965,12306,6245,12373,10091
2020-09-24,18136,12935,13338,14661,14164,13152,12293,7160,16401,9963
2020-09-25,19090,12955,13045,14481,22094,13728,11997,12521,21795,10166
2020-09-26,19670,14850,13408,13809,19427,14790,12808,9508,15387,12399
2020-09-27,19492,14696,12891,12781,21049,15123,13344,20932,13439,11525
2020-09-28,17860,12921,12320,11623,17710,14722,14965,16921,13389,10616
2020-09-29,17608,12403,12433,12022,15632,15078,14411,9670,13060,10477
2020-09-30,16992,10617,12013,12828,13869,12502,12349,7434,11554,9372
2020-10-01,16858,13592,12708,14446,19317,12616,11861,6785,11044,10849
2020-10-02,17524,13310,13145,13188,14894,12512,11417,6913,11164,13957
2020-10-03,17899,14001,12924,12315,19902,14320,12720,6536,10981,15072
2020-10-04,18565,13897,13162,13818,35567,13319,16394,6381,11389,13283
2020-10-05,17894,12377,12147,12730,16483,12223,13290,5944,10433,14286
2020-10-06,19949,12558,12118,12258,13441,11917,11923,5590,10245,16158
2020-10-07,22999,94702,12794,13026,14901,12263,12911,5551,11208,14990
2020-10-08,18708,13234,12736,12059,13332,12504,16198,5728,10312,11133
2020-10-09,18356,13526,12745,12062,15845,30681,12965,6068,11305,11046
2020-10-10,18848,14300,13038,13008,20421,22164,13095,5685,11529,11643
2020-10-11,19274,14529,13020,13740,21086,16396,14194,5941,13567,11056
2020-10-12,18125,13389,12786,12765,13961,14463,12793,5378,11695,11690
2020-10-13,18619,12877,12416,11707,13044,12668,12262,5471,10425,10761
2020-10-14,18214,13648,12609,11287,12438,12392,12023,5131,9984,10350
2020-10-15,18714,12800,13869,11781,12881,13788,13562,5825,11577,10195
2020-10-16,19489,13333,16098,17855,13978,16461,12373,5845,10127,10727
2020-10-17,20184,13581,35580,17340,16311,20181,13073,5919,9620,11619
2020-10-18,20714,15445,23603,54511,32584,23375,13964,5767,11240,12341
2020-10-19,19121,14082,15828,33533,16199,20453,12651,5856,11494,10037
2020-10-20,18354,11743,17553,20852,13206,19716,12562,5013,10202,9509
2020-10-21,19982,11730,15983,17643,19051,19407,12527,5169,10010,9795
2020-10-22,19699,12110,15266,15563,14050,31236,13248,5842,10542,10190
2020-10-23,19834,11680,14823,15088,14880,34409,12562,5485,10570,9793
2020-10-24,20761,14215,15428,16265,19319,24966,13519,5789,16194,10917
2020-10-25,20373,21864,14739,15751,17702,19221,13785,5724,22774,11106
2020-10-26,19377,11810,14128,14135,13990,16250,14519,5294,15242,10556
2020-10-27,19887,11065,13869,13759,13736,14292,13785,5333,12601,9824
2020-10-28,22330,11004,13671,13225,13349,13058,12354,5455,11236,10051
2020-10-29,24250,10749,14615,13673,20475,12937,12456,11289,11253,9418
2020-10-30,26157,12084,14957,14434,20532,13986,12762,52323,11751,9669
2020-10-31,31202,13262,15308,14901,19208,13032,13002,18201,11418,9804
2020-11-01,26933,21069,13824,14562,20147,13182,13536,10362,11133,10369
2020-11-02,23641,30037,16578,15767,14110,12472,13873,9009,10960,9648
2020-11-03,21961,43026,16718,15747,12467,11983,14114,10430,14085,9102
2020-11-04,18759,16947,13129,12653,10813,10520,11850,12462,10080,8257
2020-11-05,20697,12408,13989,14122,12421,11740,11736,9240,9793,8908
2020-11-06,20151,13218,14680,15373,13336,15495,12432,7207,9962,9064
2020-11-07,20545,14257,14281,15085,16028,15801,12020,7583,10625,9588
2020-11-08,20730,14208,13669,15401,25245,15207,12173,6406,13114,10134
2020-11-09,21227,12529,13908,15079,17920,14861,12211,5800,11832,10074
2020-11-10,20937,11317,13875,14346,22756,13956,13102,5666,10344,9536
2020-11-11,19981,11385,14062,14477,16850,13640,12423,5412,11708,10250
2020-11-12,20868,11333,15097,27612,13748,13552,12839,5820,12754,10265
2020-11-13,21458,10729,14718,16199,16737,16205,14739,5689,12130,10444
2020-11-14,22981,11743,15634,15986,20047,17270,16770,5624,12234,11206
2020-11-15,24974,12590,15533,16857,22293,15904,15379,5920,12850,11931
2020-11-16,22472,10654,13952,20438,15811,15423,15710,5412,12180,10429
2020-11-17,21729,11019,14900,19282,14276,14179,33610,12994,12290,10945
2020-11-18,22970,11333,14558,17998,14497,14223,18862,23367,15066,10262
2020-11-19,23142,10869,14897,17304,15613,15158,14894,10935,12926,10532
2020-11-20,23326,17994,15212,23976,16325,21649,14283,8467,12880,10266
2020-11-21,22981,13830,15597,23780,20732,18806,13685,7222,12904,11490
2020-11-22,24407,13408,23023,24349,24034,18258,14756,6808,12757,12137
2020-11-23,22501,12287,15196,47740,19404,25179,24411,6071,13164,11147
2020-11-24,23362,13329,15277,29551,44997,29615,23658,7250,11839,10413
2020-11-25,22805,12105,15458,25383,33618,21499,36497,6319,11516,10398
2020-11-26,23603,12090,14790,20479,20781,18862,32014,6436,11462,10011
